name,title,authors,publication_info,citation,year,link,fields,type
Emma Aguila,The value of Medicare coverage on depressive symptoms among older immigrants,"H Jun, S Mattke, A Chen, E Aguila","The Gerontologist 64 (2), gnad070, 2024",1,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:kRWSkSYxWN8C,"['Authors', 'Publication date', 'Journal', 'Volume', 'Issue', 'Pages', 'Publisher', 'Description', 'Total citations', 'Scholar articles']",Journal
Emma Aguila,Income Supplements and Subjective Life Expectancy for Low-Income Older Adults,"S Kim, E Aguila","Older Mexicans and Latinos in the United States: Where Worlds Meet, 227-248, 2024",,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:WqliGbK-hY8C,"['Authors', 'Publication date', 'Book', 'Pages', 'Publisher', 'Description', 'Scholar articles']",Book
Emma Aguila,Social Engagement and Dementia Risk in Mexican Americans: Policy Implications,"I Aguilar, E Aguila, KH Wilber, L Trejo, KS Markides","Public Policy & Aging Report, prad031, 2024",,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:5awf1xo2G04C,"['Authors', 'Publication date', 'Journal', 'Pages', 'Publisher', 'Description', 'Scholar articles']",Journal
Emma Aguila,Privatizing Responsibility for Old Age Security,"JL Angel, RJ Angel, E Aguila","Public Policy & Aging Report, prad033, 2023",,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:eq2jaN3J8jMC,"['Authors', 'Publication date', 'Journal', 'Pages', 'Publisher', 'Description', 'Scholar articles']",Journal
Emma Aguila,The association of English‐Spanish and Indigenous‐Spanish bilingualism with cognition among older adults in the Mexican Health and Aging Study (MHAS),"MA Renteria, S Petrosyan, J Saenz, SM Arango, E Aguila, S Barral, ...","Alzheimer's & Dementia 19, e078663, 2023",,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:V3AGJWp-ZtQC,"['Authors', 'Publication date', 'Journal', 'Volume', 'Pages', 'Description', 'Scholar articles']",Journal
Emma Aguila,Determinantes para el retiro en trabajadores de los sectores formal e informal en México: el papel de la salud y la seguridad económica,"Z Lee, E Aguila, R Wong","Salud Pública de México 65 (5), 434-445, 2023",,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:SdhP9T11ey4C,"['Authors', 'Publication date', 'Journal', 'Volume', 'Issue', 'Pages', 'Description', 'Scholar articles']",Journal
Emma Aguila,Asignación de dominios de ocupación de por vida en adultos mayores mexicanos: protocolo de vinculación Enasem-O* NET,"CY Li, E Aguila, P Arthur, J Peniche, M Gutiérrez, M Hernández, R Wong","Salud Pública de México 65 (5), 425-433, 2023",,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:9vf0nzSNQJEC,"['Authors', 'Publication date', 'Journal', 'Volume', 'Issue', 'Pages', 'Description', 'Scholar articles']",Journal
Emma Aguila,Assigning lifetime occupation domains for older Mexicans: MHAS-O* NET linkage protocol,"CY Li, E Aguila, P Arthur, J Peniche, M Gutiérrez, M Hernández, R Wong","salud pública de méxico 65 (5), 425-433, 2023",,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:WA5NYHcadZ8C,"['Authors', 'Publication date', 'Journal', 'Volume', 'Issue', 'Pages', 'Description', 'Scholar articles']",Journal
Emma Aguila,Determinants of retirement of formal and informal sector workers in Mexico: the role of health and economic security,"Z Lee, E Aguila, R Wong","salud pública de méxico 65 (5), 434-445, 2023",1,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:bnK-pcrLprsC,"['Authors', 'Publication date', 'Journal', 'Volume', 'Issue', 'Pages', 'Description', 'Total citations', 'Scholar articles']",Journal
Emma Aguila,20 years of the Mexican Health and Aging Study,"R Wong, C García-Peña, LM Gutiérrez-Robledo, E Aguila, ...","Salud publica de Mexico 65 (5), 423-424, 2023",,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:J-pR_7NvFogC,"['Authors', 'Publication date', 'Journal', 'Volume', 'Issue', 'Pages', 'Description', 'Scholar articles']",Journal
Emma Aguila,"Migration, work, and retirement: the case of Mexican-origin populations","E Aguila, Z Lee, R Wong","Journal of pension economics & finance 22 (2), 167-187, 2023",6,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:B3FOqHPlNUQC,"['Authors', 'Publication date', 'Journal', 'Volume', 'Issue', 'Pages', 'Publisher', 'Description', 'Total citations', 'Scholar articles']",Journal
Emma Aguila,"Non-Contributory Pensions, Functional Limitations, and Unpaid Family Care for Older Adults in Mexico","M López-Ortega, E Aguila","Journal of Aging and Health 34 (9-10), 1213-1227, 2022",1,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:VOx2b1Wkg3QC,"['Authors', 'Publication date', 'Journal', 'Volume', 'Issue', 'Pages', 'Publisher', 'Description', 'Total citations', 'Scholar articles']",Journal
Emma Aguila,Effects of Social Insurance Programs on Health Care Utilization of Middle-Aged and Older Adults,"E Aguila, WH Dow, SW Parker","PAA 2022 Annual Meeting, 2022",,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:fQNAKQ3IYiAC,"['Authors', 'Publication date', 'Journal', 'Publisher', 'Scholar articles']",Journal
Emma Aguila,Work and Retirement for Older Black and Hispanic Adults,"E Aguila, Z Lee","Presentation at SSA RDRC Annual Meeting UM22-16, Michigan Retirement and …, 2022",1,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:mvPsJ3kp5DgC,"['Authors', 'Publication date', 'Journal', 'Description', 'Total citations', 'Scholar articles']",Journal
Emma Aguila,Impact of supplemental income on major depressive episodes of older adults in Mexico,"G Armenta, E Aguila, M López Ortega, S Mejía-Arango","Understanding the Context of Cognitive Aging: Mexico and the United States …, 2021",1,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:vRqMK49ujn8C,"['Authors', 'Publication date', 'Book', 'Pages', 'Publisher', 'Description', 'Total citations', 'Scholar articles']",Book
Emma Aguila,Framing Challenges of Dementia and Mental Health Care in Mexican-origin Older Adults in Mexico and the United States: Consensus Agenda Findings and Recommendations,"SM Grasso, F Andrade, M López Ortega, E Aguila","Understanding the Context of Cognitive Aging: Mexico and the United States …, 2021",,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:08ZZubdj9fEC,"['Authors', 'Publication date', 'Book', 'Pages', 'Publisher', 'Description', 'Scholar articles']",Book
Emma Aguila,The Conference Series on Aging in the Americas (CAA) and Emerging Scholars in the Field,E Aguila,"Understanding the Context of Cognitive Aging: Mexico and the United States, 321, 2021",,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:tS2w5q8j5-wC,"['Authors', 'Publication date', 'Journal', 'Pages', 'Publisher', 'Description', 'Scholar articles']",Journal
Emma Aguila,Retirement and supplemental income programs for low-income older Mexican-origin adults in the United States and Mexico,"E Aguila, JL Angel","Public Policy & Aging Report 31 (3), 89-95, 2021",7,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:tOudhMTPpwUC,"['Authors', 'Publication date', 'Journal', 'Volume', 'Issue', 'Pages', 'Publisher', 'Description', 'Total citations', 'Scholar articles']",Journal
