Course number,Course title,Units,Type,Section,Session,Time,Days,Seats,Registered,Instructor,Term,Department,Year,Semester,AY
PPD-225,Solving Public Problems,4.0,Lecture,51101R,1.0,4:00-5:50pm,"Mon, Wed",42.0,35.0,Danyao Li,20241,PPD,2024,SP,AY24
PPD-240g,Citizenship and Public Ethics,4.0,Lecture,51110D,1.0,4:00-5:50pm,"Tue, Thu",42.0,42.0,William Resh,20241,PPD,2024,SP,AY24
PPD-245g,The Urban Context,4.0,Lecture,51106D,1.0,10:00-11:50am,"Tue, Thu",46.0,45.0,Dowell Myers,20241,PPD,2024,SP,AY24
PPD-245g,The Urban Context,4.0,Lecture,51109D,1.0,4:00-5:50pm,"Mon, Wed",46.0,39.0,Genevieve Giuliano,20241,PPD,2024,SP,AY24
PPD-300,Social Justice Issues in Public Policy and Urban Planning,4.0,Lecture,51111D,1.0,2:00-3:50pm,"Tue, Thu",47.0,45.0,Lavonna Lewis,20241,PPD,2024,SP,AY24
PPD-301,PPD Practices: Internship Seminar,2.0,Lecture,51104D,1.0,6:30-8:20pm,Tuesday,32.0,31.0,Lauren Opgenorth,20241,PPD,2024,SP,AY24
PPD-303,"Statistics for Policy, Planning, and Development",4.0,Lecture,51105R,1.0,12:00-1:50pm,"Mon, Wed",32.0,31.0,Mark Phillips,20241,PPD,2024,SP,AY24
PPD-303,"Statistics for Policy, Planning, and Development",4.0,Lecture,51107R,1.0,12:00-1:50pm,"Tue, Thu",32.0,32.0,Julie Zissimopoulos,20241,PPD,2024,SP,AY24
PPD-303,"Statistics for Policy, Planning, and Development",4.0,Lecture,51108R,1.0,10:00-11:50am,"Mon, Wed",33.0,33.0,Mark Phillips,20241,PPD,2024,SP,AY24
PPD-314,Public Policy and Law,4.0,Lecture,51118R,1.0,6:00-9:20pm,Wednesday,40.0,31.0,Frank Zerunyan,20241,PPD,2024,SP,AY24
PPD-315,Analytic Foundations for Public Policy,4.0,Lecture,51100R,1.0,2:00-3:50pm,"Tue, Thu",27.0,27.0,Pamela Mccann,20241,PPD,2024,SP,AY24
PPD-325,Fundamentals of Health Policy and Management,4.0,Lecture,51120R,1.0,10:00-11:50am,"Mon, Wed",32.0,15.0,Darius Lakdawalla,20241,PPD,2024,SP,AY24
PPD-330,Introduction to Health Care Systems,4.0,Lecture,51102R,1.0,10:00-11:50am,"Tue, Thu",33.0,33.0,Lavonna Lewis,20241,PPD,2024,SP,AY24
PPD-357,Government and Business,4.0,Lecture,51127R,1.0,10:00-11:50am,"Tue, Thu",32.0,32.0,Michael Thom,20241,PPD,2024,SP,AY24
PPD-361,"Sustainable Communities, Policy and Planning",4.0,Lecture,51141R,1.0,9:00-12:20pm,Friday,32.0,23.0,Heather Repenning,20241,PPD,2024,SP,AY24
PPD-371,The Nonprofit Sector and the Public Interest,4.0,Lecture,51130R,1.0,2:00-3:50pm,"Tue, Thu",32.0,30.0,Cara Esposito,20241,PPD,2024,SP,AY24
PPD-373,Public Policy and Planning Analysis,4.0,Lecture,51122R,1.0,8:00-9:50am,"Tue, Thu",25.0,26.0,Jordy Coutin,20241,PPD,2024,SP,AY24
PPD-382,International Development,4.0,Lecture,51151R,1.0,4:00-5:50pm,"Tue, Thu",32.0,19.0,Peter Robertson,20241,PPD,2024,SP,AY24
PPD-400,Topics in Public Policy and Urban Studies,4.0,Lecture,51123R,1.0,12:00-1:50pm,"Tue, Thu",25.0,23.0,David Sloane,20241,PPD,2024,SP,AY24
PPD-402,Management of Public and Nonprofit Organizations,4.0,Lecture,51136R,1.0,6:00-9:20pm,Monday,25.0,21.0,Deborah Natoli,20241,PPD,2024,SP,AY24
PPD-407,Financial Management of Public and Nonprofit Organizations,4.0,Lecture,51124R,1.0,6:00-9:20pm,Tuesday,32.0,20.0,Baqhar Syed,20241,PPD,2024,SP,AY24
PPD-410,Comparative Urban Development,4.0,Lecture,51115R,1.0,6:00-9:20pm,Wednesday,25.0,12.0,Rym Kaki,20241,PPD,2024,SP,AY24
PPD-412,GeoDesign Practicum,4.0,Lecture-Lab,35667R,1.0,2:00-5:50pm,Monday,22.0,17.0,Guoping Huang,20241,PPD,2024,SP,AY24
PPD-414,Community Health Policy and Planning,4.0,Lecture,51128R,1.0,6:00-9:20pm,Tuesday,32.0,14.0,Mikaela Randolph,20241,PPD,2024,SP,AY24
PPD-415,Health Policy,4.0,Lecture,51125R,1.0,8:00-9:50am,"Mon, Wed",32.0,12.0,Rosalie Pacula,20241,PPD,2024,SP,AY24
PPD-422,Transportation and Technology and the Future of Mobility,4.0,Lecture,51139R,1.0,6:00-9:20pm,Monday,42.0,42.0,Selika Talbott,20241,PPD,2024,SP,AY24
PPD-427L,Geographic Information Systems and Planning Applications,4.0,Lecture-Lab,51145R,1.0,6:00-9:20pm,Monday,34.0,34.0,Pedro Spindler-Ruiz,20241,PPD,2024,SP,AY24
PPD-431,"Undergraduate Policy, Planning, and Development Studio",4.0,Lecture,51132R,1.0,4:00-5:50pm,"Mon, Wed",22.0,21.0,Howard Greenwald,20241,PPD,2024,SP,AY24
PPD-431,"Undergraduate Policy, Planning, and Development Studio",4.0,Lecture,51133R,1.0,4:00-5:50pm,"Tue, Thu",23.0,22.0,Todd Gish,20241,PPD,2024,SP,AY24
PPD-431,"Undergraduate Policy, Planning, and Development Studio",4.0,Lecture,51134R,1.0,8:00-9:50am,"Mon, Wed",22.0,22.0,Donald Spivack,20241,PPD,2024,SP,AY24
PPD-431,"Undergraduate Policy, Planning, and Development Studio",4.0,Lecture,51135R,1.0,12:00-1:50pm,"Mon, Wed",23.0,23.0,Beth Zollars,20241,PPD,2024,SP,AY24
PPD-431,"Undergraduate Policy, Planning, and Development Studio",4.0,Lecture,51350D,544.0,TBA,,12.0,12.0,Michael Thom,20241,PPD,2024,SP,AY24
PPD-478,Social Innovation,4.0,Lecture,51137R,1.0,12:00-1:50pm,"Mon, Wed",32.0,32.0,Nicolas Duquette,20241,PPD,2024,SP,AY24
PPD-490x,Directed Research,"1.0-8.0 units, max 12",Lecture,51140D,1.0,TBA,,10.0,1.0,Samantha Malisos,20241,PPD,2024,SP,AY24
PPD-497b,Senior Thesis,2.0,Lecture,51138D,1.0,TBA,,10.0,2.0,Samantha Malisos,20241,PPD,2024,SP,AY24
PPD-499,Special Topics,"1.0-8.0 units, max 8",,,,,,,,,20241,PPD,2024,SP,AY24
PPD-499,The Art and Science of Leadership,4.0,Lecture,51156R,1.0,6:00-9:20pm,Wednesday,20.0,15.0,Deborah Natoli,20241,PPD,2024,SP,AY24
PPD-499,Mapping Urban Data for Social Change,4.0,Lecture,51199R,1.0,12:00-1:50pm,"Mon, Wed",20.0,15.0,Annette Kim,20241,PPD,2024,SP,AY24
