Course number,Course title,Units,Type,Section,Session,Time,Days,Seats,Registered,Instructor,Term,Department,Year,Semester,AY,matched_name
PPD-225,Solving Public Problems,4.0,Lecture,51101R,1.0,4:00-5:50pm,"Mon, Wed",42.0,35.0,Danyao Li,20241,Public Policy and Management,2024,SP,AY24,Danyao Li
PPD-240g,Citizenship and Public Ethics,4.0,Lecture,51110D,1.0,4:00-5:50pm,"Tue, Thu",42.0,42.0,William Resh,20241,Public Policy and Management,2024,SP,AY24,William G. Resh
PPD-245g,The Urban Context,4.0,Lecture,51106D,1.0,10:00-11:50am,"Tue, Thu",46.0,45.0,Dowell Myers,20241,Urban Planning and Spatial Management,2024,SP,AY24,Dowell Myers
PPD-245g,The Urban Context,4.0,Lecture,51109D,1.0,4:00-5:50pm,"Mon, Wed",46.0,39.0,Genevieve Giuliano,20241,Urban Planning and Spatial Management,2024,SP,AY24,Genevieve Giuliano
PPD-300,Social Justice Issues in Public Policy and Urban Planning,4.0,Lecture,51111D,1.0,2:00-3:50pm,"Tue, Thu",47.0,45.0,Lavonna Lewis,20241,Health Policy and Management,2024,SP,AY24,LaVonna B. Lewis
PPD-303,"Statistics for Policy, Planning, and Development",4.0,Lecture,51105R,1.0,12:00-1:50pm,"Mon, Wed",32.0,31.0,Mark Phillips,20241,Public Policy and Management,2024,SP,AY24,Mark Phillips
PPD-303,"Statistics for Policy, Planning, and Development",4.0,Lecture,51107R,1.0,12:00-1:50pm,"Tue, Thu",32.0,32.0,Julie Zissimopoulos,20241,Health Policy and Management,2024,SP,AY24,Julie M. Zissimopoulos
PPD-303,"Statistics for Policy, Planning, and Development",4.0,Lecture,51108R,1.0,10:00-11:50am,"Mon, Wed",33.0,33.0,Mark Phillips,20241,Public Policy and Management,2024,SP,AY24,Mark Phillips
PPD-314,Public Policy and Law,4.0,Lecture,51118R,1.0,6:00-9:20pm,Wednesday,40.0,31.0,Frank Zerunyan,20241,Public Policy and Management,2024,SP,AY24,Frank V. Zerunyan
PPD-315,Analytic Foundations for Public Policy,4.0,Lecture,51100R,1.0,2:00-3:50pm,"Tue, Thu",27.0,27.0,Pamela Mccann,20241,Public Policy and Management,2024,SP,AY24,Pamela McCann
PPD-325,Fundamentals of Health Policy and Management,4.0,Lecture,51120R,1.0,10:00-11:50am,"Mon, Wed",32.0,15.0,Darius Lakdawalla,20241,Health Policy and Management,2024,SP,AY24,Darius Lakdawalla
PPD-330,Introduction to Health Care Systems,4.0,Lecture,51102R,1.0,10:00-11:50am,"Tue, Thu",33.0,33.0,Lavonna Lewis,20241,Health Policy and Management,2024,SP,AY24,LaVonna B. Lewis
PPD-357,Government and Business,4.0,Lecture,51127R,1.0,10:00-11:50am,"Tue, Thu",32.0,32.0,Michael Thom,20241,Public Policy and Management,2024,SP,AY24,Michael Thom
PPD-382,International Development,4.0,Lecture,51151R,1.0,4:00-5:50pm,"Tue, Thu",32.0,19.0,Peter Robertson,20241,Public Policy and Management,2024,SP,AY24,Peter J. Robertson
PPD-400,Topics in Public Policy and Urban Studies,4.0,Lecture,51123R,1.0,12:00-1:50pm,"Tue, Thu",25.0,23.0,David Sloane,20241,Urban Planning and Spatial Management,2024,SP,AY24,David Sloane
PPD-402,Management of Public and Nonprofit Organizations,4.0,Lecture,51136R,1.0,6:00-9:20pm,Monday,25.0,21.0,Deborah Natoli,20241,Public Policy and Management,2024,SP,AY24,Deborah J. Natoli
PPD-410,Comparative Urban Development,4.0,Lecture,51115R,1.0,6:00-9:20pm,Wednesday,25.0,12.0,Rym Kaki,20241,Public Policy and Management,2024,SP,AY24,Rym Kaki
PPD-415,Health Policy,4.0,Lecture,51125R,1.0,8:00-9:50am,"Mon, Wed",32.0,12.0,Rosalie Pacula,20241,Health Policy and Management,2024,SP,AY24,Rosalie Pacula
PPD-431,"Undergraduate Policy, Planning, and Development Studio",4.0,Lecture,51132R,1.0,4:00-5:50pm,"Mon, Wed",22.0,21.0,Howard Greenwald,20241,Health Policy and Management,2024,SP,AY24,Howard Greenwald
PPD-431,"Undergraduate Policy, Planning, and Development Studio",4.0,Lecture,51350D,544.0,TBA,,12.0,12.0,Michael Thom,20241,Public Policy and Management,2024,SP,AY24,Michael Thom
PPD-478,Social Innovation,4.0,Lecture,51137R,1.0,12:00-1:50pm,"Mon, Wed",32.0,32.0,Nicolas Duquette,20241,Public Policy and Management,2024,SP,AY24,Nicolas Duquette
PPD-499,The Art and Science of Leadership,4.0,Lecture,51156R,1.0,6:00-9:20pm,Wednesday,20.0,15.0,Deborah Natoli,20241,Public Policy and Management,2024,SP,AY24,Deborah J. Natoli
PPD-499,Mapping Urban Data for Social Change,4.0,Lecture,51199R,1.0,12:00-1:50pm,"Mon, Wed",20.0,15.0,Annette Kim,20241,Urban Planning and Spatial Management,2024,SP,AY24,Annette M. Kim
PPD-503,Economics for Public Policy,4.0,Lecture,51220R,1.0,6:00-9:20pm,Wednesday,65.0,26.0,T.J. Mccarthy,20241,Public Policy and Management,2024,SP,AY24,T.J. McCarthy
PPD-504,Essential Statistics for Public Management,2.0,Lecture,51234R,1.0,2:00-3:50pm,Wednesday,20.0,19.0,William Leach,20241,Public Policy and Management,2024,SP,AY24,William Leach
PPD-504,Essential Statistics for Public Management,2.0,Lecture,51236R,1.0,6:00-7:50pm,Thursday,20.0,18.0,Michael Lin,20241,Health Policy and Management,2024,SP,AY24,Michael E. Harris
PPD-510a,Financial Management of Health Services,4.0,Lecture,51200D,1.0,6:00-9:20pm,Tuesday,22.0,21.0,Norris Gunby,20241,Health Policy and Management,2024,SP,AY24,Norris Gunby
PPD-510a,Financial Management of Health Services,4.0,Lecture,51281D,1.0,6:00-9:20pm,Thursday,25.0,12.0,Norris Gunby,20241,Health Policy and Management,2024,SP,AY24,Norris Gunby
PPD-512,Health Administration Residency Seminar,2.0,Lecture,51277D,1.0,6:00-7:50pm,Wednesday,51.0,49.0,Michael Low,20241,Health Policy and Management,2024,SP,AY24,Michael E. Harris
PPD-514,Economic Concepts Applied to Health,4.0,Lecture,51275D,1.0,2:00-5:20pm,Wednesday,28.0,22.0,Rosalie Pacula,20241,Health Policy and Management,2024,SP,AY24,Rosalie Pacula
PPD-514,Economic Concepts Applied to Health,4.0,Lecture,51313D,791.0,TBA,,28.0,28.0,Alice Chen,20241,Health Policy and Management,2024,SP,AY24,Alice Chen
PPD-515,Strategic Management of Health Organizations,4.0,Lecture,51204D,1.0,6:00-9:20pm,Tuesday,30.0,30.0,Philip Dalton,20241,Health Policy and Management,2024,SP,AY24,Phil Dalton
PPD-515,Strategic Management of Health Organizations,4.0,Lecture,51266D,1.0,6:00-9:20pm,Wednesday,28.0,27.0,Philip Dalton,20241,Health Policy and Management,2024,SP,AY24,Phil Dalton
PPD-523,Urban and International Development,4.0,Lecture,51212R,1.0,2:00-5:20pm,Thursday,60.0,51.0,Marlon Boarnet,20241,Urban Planning and Spatial Management,2024,SP,AY24,Marlon Boarnet
PPD-528,Physical Planning: Urban and Community Design,2.0,Lecture,51221R,1.0,4:00-5:50pm,Tuesday,24.0,23.0,Elizabeth Falletta,20241,Urban Planning and Spatial Management,2024,SP,AY24,Liz Falletta
PPD-528,Physical Planning: Urban and Community Design,2.0,Lecture,51222R,1.0,2:00-3:50pm,Tuesday,24.0,20.0,Elizabeth Falletta,20241,Urban Planning and Spatial Management,2024,SP,AY24,Liz Falletta
PPD-540,Fundamentals of Public Administration,4.0,Lecture,51464D,593.0,TBA,,25.0,12.0,Tara Blanc,20241,Public Policy and Management,2024,SP,AY24,Tara Blanc
PPD-541,Public Financial Management and Budgeting,4.0,Lecture,51243R,1.0,6:00-9:20pm,Wednesday,29.0,28.0,Mark Alvarado,20241,ROTC,2024,SP,AY24,Lt. Col Mark R. Burley
PPD-542,Policy and Program Evaluation,4.0,Lecture,51352D,785.0,6:00-9:20pm,Monday,33.0,31.0,Howard Greenwald,20241,Health Policy and Management,2024,SP,AY24,Howard Greenwald
PPD-545,Public and Nonprofit Organizational Behavior,4.0,Lecture,51402D,530.0,TBA,,28.0,6.0,Kelly Rawlings,20241,Public Policy and Management,2024,SP,AY24,Kelly Rawlings
PPD-545,Public and Nonprofit Organizational Behavior,4.0,Lecture,51468D,593.0,TBA,,20.0,12.0,Kelly Rawlings,20241,Public Policy and Management,2024,SP,AY24,Kelly Rawlings
PPD-545,Public and Nonprofit Organizational Behavior,4.0,Lecture,51470D,593.0,TBA,,20.0,12.0,Kelly Rawlings,20241,Public Policy and Management,2024,SP,AY24,Kelly Rawlings
PPD-546,Capstone in Public Administration,4.0,Lecture,51242D,1.0,6:00-9:20pm,Tuesday,23.0,21.0,Nicole Esparza,20241,Public Policy and Management,2024,SP,AY24,Nicole E. Esparza
PPD-546,Capstone in Public Administration,4.0,Lecture,51248D,1.0,6:00-9:20pm,Monday,23.0,23.0,Peter Robertson,20241,Public Policy and Management,2024,SP,AY24,Peter J. Robertson
PPD-546,Capstone in Public Administration,4.0,Lecture,51269D,1.0,6:00-9:20pm,Thursday,23.0,23.0,William Resh,20241,Public Policy and Management,2024,SP,AY24,William G. Resh
PPD-546,Capstone in Public Administration,4.0,Lecture,51401D,530.0,TBA,,28.0,11.0,Lois Takahashi,20241,Public Policy and Management,2024,SP,AY24,Lois M. Takahashi
PPD-546,Capstone in Public Administration,4.0,Lecture,51469D,593.0,TBA,,20.0,13.0,Dora Kingsley Vertenten,20241,Public Policy and Management,2024,SP,AY24,Dora Kingsley Vertenten
PPD-555,Public Policy Formulation and Implementation,4.0,Lecture,51354D,785.0,5:00-6:00pm,Wednesday,20.0,12.0,Lois Takahashi,20241,Public Policy and Management,2024,SP,AY24,Lois M. Takahashi
PPD-558,Multivariate Statistical Analysis,4.0,Lecture,51283D,1.0,2:00-5:20pm,Thursday,34.0,30.0,T.J. Mccarthy,20241,Public Policy and Management,2024,SP,AY24,T.J. McCarthy
PPD-560,Methods for Policy Analysis,4.0,Lecture,51224D,1.0,6:00-9:20pm,Wednesday,42.0,42.0,Mark Phillips,20241,Public Policy and Management,2024,SP,AY24,Mark Phillips
PPD-561b,Policy Analysis Practicum,3.0,Lecture,51225D,1.0,10:00-12:20pm,Tuesday,44.0,44.0,Grace Bahng Alexandra Graddy-Reed,20241,Public Policy and Management,2024,SP,AY24,Grace Bahng
PPD-569,Applied International Policy Analysis and Management Project,4.0,Lecture,51355D,785.0,9:00-12:20pm,Monday,14.0,14.0,Rym Kaki,20241,Public Policy and Management,2024,SP,AY24,Rym Kaki
PPD-599,Price International Lab,4.0,Lecture,51311D,550.0,TBA,,26.0,24.0,Frank Zerunyan,20241,Public Policy and Management,2024,SP,AY24,Frank V. Zerunyan
PPD-647,Finance of the Public Sector,4.0,Lecture,51288R,1.0,2:00-5:20pm,Tuesday,26.0,18.0,Michael Thom,20241,Public Policy and Management,2024,SP,AY24,Michael Thom
PPD-663,Intergovernmental Management: Federal Perspective,4.0,Lecture,51300D,501.0,12:00-1:50pm,Thursday,15.0,14.0,Pamela Mccann,20241,Public Policy and Management,2024,SP,AY24,Pamela McCann
PPD-672,Collaborative Governance,4.0,Lecture,51245R,1.0,6:00-9:20pm,Thursday,28.0,23.0,Frank Zerunyan,20241,Public Policy and Management,2024,SP,AY24,Frank V. Zerunyan
PPD-673,Strategic Planning in the Public Sector,4.0,Lecture,51309D,790.0,TBA,,28.0,16.0,Norris Gunby,20241,Health Policy and Management,2024,SP,AY24,Norris Gunby
PPD-675,Nonprofit Management and Leadership,4.0,Lecture,51271R,1.0,6:00-9:20pm,Monday,26.0,12.0,Nicole Esparza,20241,Public Policy and Management,2024,SP,AY24,Nicole E. Esparza
PPD-677,International Development Administration,4.0,Lecture,51244R,1.0,6:00-9:20pm,Monday,32.0,11.0,Rym Kaki,20241,Public Policy and Management,2024,SP,AY24,Rym Kaki
PPD-700,Teaching Seminar,2.0,Lecture,51292D,1.0,12:00-1:50pm,Wednesday,5.0,5.0,Deborah Natoli,20241,Public Policy and Management,2024,SP,AY24,Deborah J. Natoli
PPD-706,Research Design,4.0,Lecture,51293D,1.0,2:00-5:20pm,Thursday,8.0,6.0,Jeffery Jenkins,20241,Public Policy and Management,2024,SP,AY24,Jeffery A. Jenkins
PPD-710b,Research Seminar,2.0,Lecture,51284D,1.0,5:30-7:20pm,Wednesday,5.0,5.0,Dowell Myers,20241,Urban Planning and Spatial Management,2024,SP,AY24,Dowell Myers
PPD-794a,Doctoral Dissertation,2.0,Lecture,51254D,1.0,TBA,,15.0,1.0,John Romley,20241,Health Policy and Management,2024,SP,AY24,John A. Romley
PPD-794b,Doctoral Dissertation,2.0,Lecture,51255D,1.0,TBA,,15.0,8.0,John Romley,20241,Health Policy and Management,2024,SP,AY24,John A. Romley
PPD-794c,Doctoral Dissertation,2.0,Lecture,51256D,1.0,TBA,,15.0,2.0,John Romley,20241,Health Policy and Management,2024,SP,AY24,John A. Romley
PPD-794d,Doctoral Dissertation,2.0,Lecture,51257D,1.0,TBA,,15.0,11.0,John Romley,20241,Health Policy and Management,2024,SP,AY24,John A. Romley
PPD-794z,Doctoral Dissertation,0.0,Lecture,51258D,1.0,TBA,,18.0,18.0,John Romley,20241,Health Policy and Management,2024,SP,AY24,John A. Romley
PPDE-505,Professional Workshop in Public Administration,2.0,Lecture,50914D,61.0,6:00-7:50pm,Tuesday,20.0,20.0,Tara Blanc,20241,Public Policy and Management,2024,SP,AY24,Tara Blanc
PPDE-505,Professional Workshop in Public Administration,2.0,Lecture,50991D,530.0,TBA,,28.0,13.0,Tara Blanc,20241,Public Policy and Management,2024,SP,AY24,Tara Blanc
PPDE-505,Professional Workshop in Public Administration,2.0,Lecture,51051D,790.0,TBA,,20.0,18.0,Tara Blanc,20241,Public Policy and Management,2024,SP,AY24,Tara Blanc
PPDE-506,Professional Residency in Public Administration,1.0,Lecture,51072D,596.0,TBA,,25.0,12.0,Dora Kingsley Vertenten,20241,Public Policy and Management,2024,SP,AY24,Dora Kingsley Vertenten
PPDE-580,Social Innovation,4.0,Lecture,50900R,1.0,6:00-9:20pm,Tuesday,32.0,5.0,Christine Beckman,20241,Public Policy and Management,2024,SP,AY24,Christine M. Beckman
