Course number,Course title,Units,Type,Registered,Instructor,term,class_abbr
PPD-225,Solving Public Problems,4.0,Lecture,34.0,Danyao Li,20241,PPD
PPD-240g,Citizenship and Public Ethics,4.0,Lecture,42.0,William Resh,20241,PPD
PPD-245g,The Urban Context,4.0,Lecture,44.0,Dowell Myers,20241,PPD
PPD-245g,The Urban Context,4.0,Lecture,39.0,Genevieve Giuliano,20241,PPD
PPD-300,Social Justice Issues in Public Policy and Urban Planning,4.0,Lecture,45.0,Lavonna Lewis,20241,PPD
PPD-301,PPD Practices: Internship Seminar,2.0,Lecture,31.0,Lauren Opgenorth,20241,PPD
PPD-303,"Statistics for Policy, Planning, and Development",4.0,Lecture,29.0,Mark Phillips,20241,PPD
PPD-303,"Statistics for Policy, Planning, and Development",4.0,Lecture,32.0,Julie Zissimopoulos,20241,PPD
PPD-303,"Statistics for Policy, Planning, and Development",4.0,Lecture,30.0,Mark Phillips,20241,PPD
PPD-314,Public Policy and Law,4.0,Lecture,31.0,Frank Zerunyan,20241,PPD
PPD-315,Analytic Foundations for Public Policy,4.0,Lecture,27.0,Pamela Mccann,20241,PPD
PPD-325,Fundamentals of Health Policy and Management,4.0,Lecture,15.0,Darius Lakdawalla,20241,PPD
PPD-330,Introduction to Health Care Systems,4.0,Lecture,33.0,Lavonna Lewis,20241,PPD
PPD-357,Government and Business,4.0,Lecture,32.0,Michael Thom,20241,PPD
PPD-361,"Sustainable Communities, Policy and Planning",4.0,Lecture,23.0,Heather Repenning,20241,PPD
PPD-371,The Nonprofit Sector and the Public Interest,4.0,Lecture,30.0,Cara Esposito,20241,PPD
PPD-373,Public Policy and Planning Analysis,4.0,Lecture,25.0,Jordy Coutin,20241,PPD
PPD-382,International Development,4.0,Lecture,19.0,Peter Robertson,20241,PPD
PPD-400,Topics in Public Policy and Urban Studies,4.0,Lecture,23.0,David Sloane,20241,PPD
PPD-402,Management of Public and Nonprofit Organizations,4.0,Lecture,21.0,Deborah Natoli,20241,PPD
PPD-407,Financial Management of Public and Nonprofit Organizations,4.0,Lecture,20.0,Baqhar Syed,20241,PPD
PPD-410,Comparative Urban Development,4.0,Lecture,12.0,Rym Kaki,20241,PPD
PPD-412,GeoDesign Practicum,4.0,Lecture-Lab,17.0,Guoping Huang,20241,PPD
PPD-414,Community Health Policy and Planning,4.0,Lecture,14.0,Mikaela Randolph,20241,PPD
PPD-415,Health Policy,4.0,Lecture,12.0,Rosalie Pacula,20241,PPD
PPD-422,Transportation and Technology and the Future of Mobility,4.0,Lecture,42.0,Selika Talbott,20241,PPD
PPD-427L,Geographic Information Systems and Planning Applications,4.0,Lecture-Lab,34.0,Pedro Spindler-Ruiz,20241,PPD
PPD-431,"Undergraduate Policy, Planning, and Development Studio",4.0,Lecture,21.0,Howard Greenwald,20241,PPD
PPD-431,"Undergraduate Policy, Planning, and Development Studio",4.0,Lecture,22.0,Todd Gish,20241,PPD
PPD-431,"Undergraduate Policy, Planning, and Development Studio",4.0,Lecture,22.0,Donald Spivack,20241,PPD
PPD-431,"Undergraduate Policy, Planning, and Development Studio",4.0,Lecture,23.0,Beth Zollars,20241,PPD
PPD-431,"Undergraduate Policy, Planning, and Development Studio",4.0,Lecture,12.0,Michael Thom,20241,PPD
PPD-478,Social Innovation,4.0,Lecture,32.0,Nicolas Duquette,20241,PPD
PPD-490x,Directed Research,"1.0-8.0 units, max 12",Lecture,1.0,Samantha Malisos,20241,PPD
PPD-497b,Senior Thesis,2.0,Lecture,2.0,Samantha Malisos,20241,PPD
PPD-499,Special Topics,"1.0-8.0 units, max 8",,,,20241,PPD
PPD-499,The Art and Science of Leadership,4.0,Lecture,15.0,Deborah Natoli,20241,PPD
PPD-499,Mapping Urban Data for Social Change,4.0,Lecture,14.0,Annette Kim,20241,PPD
PPD-501a,"Economics for Policy, Planning and Development",2.0,Lecture,18.0,Ke Ye,20241,PPD
PPD-503,Economics for Public Policy,4.0,Lecture,26.0,T.J. Mccarthy,20241,PPD
PPD-503,Economics for Public Policy,4.0,Lecture,39.0,Joshua Russell-Fritch,20241,PPD
PPD-504,Essential Statistics for Public Management,2.0,Lecture,19.0,William Leach,20241,PPD
PPD-504,Essential Statistics for Public Management,2.0,Lecture,18.0,Michael Lin,20241,PPD
PPD-504,Essential Statistics for Public Management,2.0,Lecture,32.0,Gentian Droboniku,20241,PPD
PPD-505,Modeling for Health Policy and Medical Decision Making,4.0,Lecture,9.0,Sze-Chuan Suen,20241,PPD
PPD-510a,Financial Management of Health Services,4.0,Lecture,21.0,Norris Gunby,20241,PPD
PPD-510a,Financial Management of Health Services,4.0,Lecture,16.0,Samuel King,20241,PPD
PPD-510a,Financial Management of Health Services,4.0,Lecture,12.0,Norris Gunby,20241,PPD
PPD-511,Health Information Systems,2.0,Lecture,8.0,Sean Johnson,20241,PPD
PPD-512,Health Administration Residency Seminar,2.0,Lecture,49.0,Michael Low,20241,PPD
PPD-514,Economic Concepts Applied to Health,4.0,Lecture,22.0,Rosalie Pacula,20241,PPD
PPD-514,Economic Concepts Applied to Health,4.0,Lecture,28.0,Alice Chen,20241,PPD
PPD-515,Strategic Management of Health Organizations,4.0,Lecture,30.0,Philip Dalton,20241,PPD
PPD-515,Strategic Management of Health Organizations,4.0,Lecture,27.0,Philip Dalton,20241,PPD
PPD-518,Quality of Care Concepts,2.0,Lecture,18.0,Sean Johnson,20241,PPD
PPD-523,Urban and International Development,4.0,Lecture,51.0,Marlon Boarnet,20241,PPD
PPD-528,Physical Planning: Urban and Community Design,2.0,Lecture,23.0,Elizabeth Falletta,20241,PPD
PPD-528,Physical Planning: Urban and Community Design,2.0,Lecture,20.0,Elizabeth Falletta,20241,PPD
PPD-529,Planning Law and Legal Frameworks of Planning,2.0,Lecture,47.0,Nicole Kuklok-Waldman,20241,PPD
PPD-529,Planning Law and Legal Frameworks of Planning,2.0,Lecture,1.0,Nicole Kuklok-Waldman,20241,PPD
PPD-540,Fundamentals of Public Administration,4.0,Lecture,11.0,Tara Blanc,20241,PPD
PPD-541,Public Financial Management and Budgeting,4.0,Lecture,28.0,Mark Alvarado,20241,PPD
PPD-541,Public Financial Management and Budgeting,4.0,Lecture,27.0,Kevin Kearney,20241,PPD
PPD-541,Public Financial Management and Budgeting,4.0,Lecture,22.0,John Calanni,20241,PPD
PPD-542,Policy and Program Evaluation,4.0,Lecture,31.0,Howard Greenwald,20241,PPD
PPD-543,Internship Seminar,1.0,Lecture,13.0,Valerie Savior,20241,PPD
PPD-543,Internship Seminar,1.0,Lecture,18.0,Thomas Eng,20241,PPD
PPD-543,Internship Seminar,1.0,Lecture,8.0,Dominic Alletto,20241,PPD
PPD-545,Public and Nonprofit Organizational Behavior,4.0,Lecture,6.0,Kelly Rawlings,20241,PPD
PPD-545,Public and Nonprofit Organizational Behavior,4.0,Lecture,12.0,Kelly Rawlings,20241,PPD
PPD-545,Public and Nonprofit Organizational Behavior,4.0,Lecture,12.0,Kelly Rawlings,20241,PPD
PPD-546,Capstone in Public Administration,4.0,Lecture,20.0,Nicole Esparza,20241,PPD
PPD-546,Capstone in Public Administration,4.0,Lecture,23.0,Peter Robertson,20241,PPD
PPD-546,Capstone in Public Administration,4.0,Lecture,22.0,Donald Morgan,20241,PPD
PPD-546,Capstone in Public Administration,4.0,Lecture,23.0,William Resh,20241,PPD
PPD-546,Capstone in Public Administration,4.0,Lecture,10.0,Lois Takahashi,20241,PPD
PPD-546,Capstone in Public Administration,4.0,Lecture,13.0,Dora Kingsley Vertenten,20241,PPD
PPD-555,Public Policy Formulation and Implementation,4.0,Lecture,22.0,Jennifer King,20241,PPD
PPD-555,Public Policy Formulation and Implementation,4.0,Lecture,23.0,Ryan Alcantara,20241,PPD
PPD-555,Public Policy Formulation and Implementation,4.0,Lecture,12.0,Lois Takahashi,20241,PPD
PPD-555,Public Policy Formulation and Implementation,4.0,Lecture,15.0,Matthew Wheeler,20241,PPD
PPD-558,Multivariate Statistical Analysis,4.0,Lecture,28.0,T.J. Mccarthy,20241,PPD
PPD-560,Methods for Policy Analysis,4.0,Lecture,40.0,Mark Phillips,20241,PPD
PPD-561b,Policy Analysis Practicum,3.0,Lecture,44.0,Grace Bahng Alexandra Graddy-Reed,20241,PPD
PPD-569,Applied International Policy Analysis and Management Project,4.0,Lecture,14.0,Rym Kaki,20241,PPD
PPD-590,Directed Research,1.0-12.0 units,Lecture,4.0,Samantha Malisos,20241,PPD
PPD-596,Internship for Curricular Practical Training,"1.0-3.0 units, max 3",Lecture,3.0,Valerie Savior,20241,PPD
PPD-599,Special Topics,"2.0-8.0 units, max 8",,,,20241,PPD
PPD-599,Price International Lab,4.0,Lecture,21.0,Frank Zerunyan,20241,PPD
PPD-600,Management of Managed Care Organizations,2.0,Lecture,23.0,Denny Hooten,20241,PPD
PPD-604,Seminar in Hospital Administration,4.0,Lecture,22.0,Victor Pena,20241,PPD
PPD-625,Planning and Economic Development Finance,4.0,Lecture,18.0,Ben Feingold,20241,PPD
PPD-627,Design Skills for Urban Planners,4.0,Lecture,22.0,Kevin Wronske,20241,PPD
PPD-629,Capstone in Urban Planning,4.0,Lecture,20.0,Deepak Bahl,20241,PPD
PPD-629,Capstone in Urban Planning,4.0,Lecture,16.0,Lia Soorenian,20241,PPD
PPD-629,Capstone in Urban Planning,4.0,Lecture,21.0,Ryan Kucinski,20241,PPD
PPD-631,"Geographic Information Systems for Policy, Planning, and Development",2.0,Lecture,12.0,Barry Waite Bonnie Shrewsbury,20241,PPD
PPD-633,Methods and Modeling Tools for Transportation Planning,4.0,Lecture,12.0,Emily Finkel,20241,PPD
PPD-647,Finance of the Public Sector,4.0,Lecture,13.0,Michael Thom,20241,PPD
PPD-651,Seminar in the Administration of Local Government,4.0,Lecture,9.0,Carl Alameda,20241,PPD
PPD-651,Seminar in the Administration of Local Government,4.0,Lecture,21.0,Matthew Wheeler,20241,PPD
PPD-663,Intergovernmental Management: Federal Perspective,4.0,Lecture,14.0,Pamela Mccann,20241,PPD
PPD-672,Collaborative Governance,4.0,Lecture,23.0,Frank Zerunyan,20241,PPD
PPD-672,Collaborative Governance,4.0,Lecture,6.0,Logan O'Shaughnessy,20241,PPD
PPD-673,Strategic Planning in the Public Sector,4.0,Lecture,16.0,Norris Gunby,20241,PPD
PPD-675,Nonprofit Management and Leadership,4.0,Lecture,12.0,Nicole Esparza,20241,PPD
PPD-677,International Development Administration,4.0,Lecture,11.0,Rym Kaki,20241,PPD
PPD-700,Teaching Seminar,2.0,Lecture,5.0,Deborah Natoli,20241,PPD
PPD-706,Research Design,4.0,Lecture,6.0,Jeffery Jenkins,20241,PPD
PPD-710b,Research Seminar,2.0,Lecture,5.0,Dowell Myers,20241,PPD
PPD-790,Research,"1.0-12.0 units, max 18",Lecture,10.0,Samantha Malisos,20241,PPD
PPD-794a,Doctoral Dissertation,2.0,Lecture,1.0,John Romley,20241,PPD
PPD-794b,Doctoral Dissertation,2.0,Lecture,8.0,John Romley,20241,PPD
PPD-794c,Doctoral Dissertation,2.0,Lecture,2.0,John Romley,20241,PPD
PPD-794d,Doctoral Dissertation,2.0,Lecture,11.0,John Romley,20241,PPD
PPDE-505,Professional Workshop in Public Administration,2.0,Lecture,13.0,Laura Wittcoff,20241,PPDE
PPDE-505,Professional Workshop in Public Administration,2.0,Lecture,20.0,Tara Blanc,20241,PPDE
PPDE-505,Professional Workshop in Public Administration,2.0,Lecture,13.0,Tara Blanc,20241,PPDE
PPDE-505,Professional Workshop in Public Administration,2.0,Lecture,18.0,Tara Blanc,20241,PPDE
PPDE-506,Professional Residency in Public Administration,1.0,Lecture,12.0,Dora Kingsley Vertenten,20241,PPDE
PPDE-580,Social Innovation,4.0,Lecture,5.0,Christine Beckman,20241,PPDE
PPDE-613,Analytics and Operations for Healthcare Management,2.0,Lecture,48.0,Julia Orozco Jason Doctor,20241,PPDE
PPDE-634,"Methodology, Methods and Tools for Urban Sustainability",2.0-4.0 units,Lecture,16.0,Craig Reiter,20241,PPDE
PPDE-635,Housing and Land Use in Rapidly Urbanizing Regions,4.0,Lecture,12.0,Annette Kim,20241,PPDE
PPDE-637,Urban Mass Transit,4.0,Lecture,11.0,Lisa Schweitzer,20241,PPDE
PPDE-642,Advanced Urban Analytics,4.0,Lecture,9.0,Geoff Boeing,20241,PPDE
PPDE-643,Planning for Resilience,4.0,Lecture,16.0,Santina Contreras,20241,PPDE
PPDE-644,Land Use and Transportation Planning,4.0,Lecture,9.0,Hasan Ikhrata,20241,PPDE
PPDE-646,Grant Writing Practicum,2.0,Lecture,17.0,Rachel Reed,20241,PPDE
PPDE-647,Civic Engagement in Governance,4.0,Lecture,15.0,Mindy Romero,20241,PPDE
PPDE-661,Methods for Equity Analysis,4.0,Lecture,13.0,Jorge Garcia,20241,PPDE
PPDE-664,Seminar in Social Justice and Public Policy,4.0,Lecture,27.0,Alisa Orduna,20241,PPDE
PPDE-668,Applied Econometrics for Program Evaluation,4.0,Lecture,23.0,T.J. Mccarthy,20241,PPDE
PPDE-672,An Exploration of the Intelligence Community - from Policy to Cyber Espionage,4.0,Lecture,24.0,Michael Orosz,20241,PPDE
PPDE-673,Foundations of Environmental Policy,4.0,Lecture,22.0,Antonio Bento,20241,PPDE
PPDE-680,Board Governance and Leadership,2.0,Lecture,18.0,Claire Peeps,20241,PPDE
PPDE-681,Fund Development for Nonprofit Organizations,4.0,Lecture,17.0,Lorri Grubaugh,20241,PPDE
PLUS-652,"Place, Institutions, and Governance",4.0,Lecture,7.0,William Leach,20241,PLUS
PLUS-660,Economics of a Productive Development - A Public/Private Perspective,3.0,Lecture,2.0,Moussa Diop,20241,PLUS
PLUS-661,Politics and Process of Urban Development,2.0,Lecture,2.0,Ben Feingold,20241,PLUS
PLUS-662,Planning and Development Case Study,1.0,Lecture,1.0,Elizabeth Falletta,20241,PLUS
PLUS-663,Designing Livable Environments I,1.0,Lecture,1.0,Elizabeth Falletta,20241,PLUS
PLUS-665,Economics for a Productive City,3.0,Lecture,1.0,Allen Prohofsky Elizabeth Falletta,20241,PLUS
PLUS-667,Effective Engagement with Stakeholders,3.0,Lecture,1.0,Elizabeth Falletta,20241,PLUS
PLUS-668,Big Data for Planning and Development,2.0,Lecture,1.0,Kevin Kane,20241,PLUS
PLUS-694b,"Planning, Design and Development Professional Dissertation",2.0,Lecture,5.0,Michael Thom,20241,PLUS
PLUS-694c,"Planning, Design and Development Professional Dissertation",2.0,Lecture,2.0,Michael Thom,20241,PLUS
PLUS-694d,"Planning, Design and Development Professional Dissertation",2.0,Lecture,3.0,Michael Thom,20241,PLUS
RED-200,Introduction to Real Estate,4.0,Lecture,20.0,Mark Zikakis,20241,RED
RED-200,Introduction to Real Estate,4.0,Lecture,73.0,John Loper,20241,RED
RED-201,Real Estate Career Seminar,2.0,Lecture,30.0,Sonia Savoulian,20241,RED
RED-201,Real Estate Career Seminar,2.0,Lecture,26.0,Garland Fuller,20241,RED
RED-301,Real Estate Internship Seminar,1.0,Lecture,35.0,Deanna Thomas,20241,RED
RED-325,Introduction to Finance in Cities,4.0,Lecture,55.0,John Loper,20241,RED
RED-362,Real Estate Development Fundamentals,4.0,Lecture,42.0,Jorge De la Roca,20241,RED
RED-362,Real Estate Development Fundamentals,4.0,Lecture,49.0,Jorge De la Roca,20241,RED
RED-375,Real Estate Development Analysis,4.0,Lecture,27.0,John Loper,20241,RED
RED-375,Real Estate Development Analysis,4.0,Lecture,26.0,Moussa Diop,20241,RED
RED-398,Shaping Cities Through Real Estate,"2.0-4.0 units, max 8",,,,20241,RED
RED-398,Residential Properties,4.0,Lecture,30.0,Aleks Baharlo,20241,RED
RED-398,Retail Properties,4.0,Lecture,31.0,Bret Nielsen,20241,RED
RED-417,History of Planning and Development,4.0,Lecture,46.0,Cara Mullio,20241,RED
RED-417,History of Planning and Development,4.0,Lecture,32.0,Ben Winter,20241,RED
RED-425,Designing Livable Communities,4.0,Lecture,26.0,Elizabeth Falletta,20241,RED
RED-425,Designing Livable Communities,4.0,Lecture,27.0,Elizabeth Falletta,20241,RED
RED-425,Designing Livable Communities,4.0,Lecture,27.0,Matthew Macher,20241,RED
RED-435,Analyzing Real Estate Markets,4.0,Lecture,29.0,Mary Lynne Boorn,20241,RED
RED-435,Analyzing Real Estate Markets,4.0,Lecture,32.0,Mary Lynne Boorn,20241,RED
RED-437,Advanced Finance and Investment for Real Estate Development,4.0,Lecture,24.0,Nate Munson,20241,RED
RED-437,Advanced Finance and Investment for Real Estate Development,4.0,Lecture,16.0,Spencer Couts,20241,RED
RED-469,Mixed Use Development Process,4.0,Lecture,18.0,Richard Green,20241,RED
RED-510,Real Estate Practice and Principles,4.0,Lecture,26.0,Joel Bryant,20241,RED
RED-510,Real Estate Practice and Principles,4.0,Lecture,15.0,Moussa Diop,20241,RED
RED-512,Real Estate Project Analysis,4.0,Lecture,25.0,Terri Dickerhoff,20241,RED
RED-545,Advanced Real Estate and Financial Modeling,2.0,Lecture,12.0,Ehud Mouchly,20241,RED
RED-546,Applications of Real Estate Finance to Problems of Development,3.0,Lecture,22.0,Christian Redfearn,20241,RED
RED-546,Applications of Real Estate Finance to Problems of Development,3.0,Lecture,11.0,Christian Redfearn,20241,RED
RED-546,Applications of Real Estate Finance to Problems of Development,3.0,Lab,33.0,Iain Gulin,20241,RED
RED-562,Legal Issues in Real Estate Development,4.0,Lecture,12.0,Pablo Clarke Philip Feder,20241,RED
RED-575L,Community Design and Site Planning,"2.0-4.0 units, max 8",Lecture,19.0,Daniel Gehman Steven Kellenberg Carl Meyer,20241,RED
RED-575L,Community Design and Site Planning,"2.0-4.0 units, max 8",Lecture,13.0,Daniel Gehman Steven Kellenberg Carl Meyer,20241,RED
RED-575L,Community Design and Site Planning,"2.0-4.0 units, max 8",Lab,32.0,Daniel Gehman Steven Kellenberg,20241,RED
RED-585,Comparative International Development Workshop,2.0-4.0 units,Lecture,19.0,Richard Green,20241,RED
RED-590,Directed Research,1.0-12.0 units,Lecture,2.0,Samantha Malisos,20241,RED
RED-598,Real Estate Product Development,"2.0-4.0 units, max 12",,,,20241,RED
RED-598,Urban Infill,2.0,Lecture,22.0,Mott Smith,20241,RED
RED-598,Affordable Housing,2.0,Lecture,15.0,Van Scott,20241,RED
RED-598,Hotel/Resort Development,2.0,Lecture,15.0,Steve Shpilsky Molly Caccamo,20241,RED
RED-598,Multi-Family Development,2.0,Lecture,27.0,Christopher Payne,20241,RED
RED-598,Retail Development,2.0,Lecture,25.0,Jeffrey Kreshek,20241,RED
HMGT-520,Leading People and Health Care Organizations,4.0,Lecture,10.0,Patrick Gless,20241,HMGT
HMGT-540,"Health Economics, Financing and Reimbursement",4.0,Lecture,14.0,Paul Ginsburg,20241,HMGT
HMGT-565,Managing the Organization's Financial Health,4.0,Lecture,8.0,Lisa Ozaeta,20241,HMGT
HMGT-565,Managing the Organization's Financial Health,4.0,Lecture,12.0,Lisa Ozaeta,20241,HMGT
HMGT-570,Strategic Management,4.0,Lecture,13.0,Gary Blackard,20241,HMGT
HMGT-575,Managing and Improving Health,4.0,Lecture,23.0,Michael Harris,20241,HMGT
HMGT-600,Managing Risk,2.0,Lecture,9.0,Michael Harris,20241,HMGT
HMGT-600,Managing Risk,2.0,Lecture,5.0,Michael Harris,20241,HMGT
HMGT-602,Operational Efficiency Processes in Health Care Organizations,2.0,Lecture,15.0,Joseph Sierra,20241,HMGT
HMGT-603,Developing &amp; Monitoring of Quality &amp; Patient Safety Outcomes,2.0,Lecture,9.0,Stanley Augustine,20241,HMGT
HMGT-603,Developing &amp; Monitoring of Quality &amp; Patient Safety Outcomes,2.0,Lecture,15.0,Stanley Augustine,20241,HMGT
PPD-203,Economic Analysis for Public Policy,4.0,Lecture,27.0,Mark Phillips,20233,PPD
PPD-225,Solving Public Problems,4.0,Lecture,50.0,Michael Feuer,20233,PPD
PPD-227,Urban Planning and Development,4.0,Lecture,29.0,Ken Bernstein,20233,PPD
PPD-240g,Citizenship and Public Ethics,4.0,Lecture,40.0,Grace Bahng,20233,PPD
PPD-245g,The Urban Context,4.0,Lecture,63.0,Marlon Boarnet,20233,PPD
PPD-245g,The Urban Context,4.0,Lecture,59.0,Todd Gish,20233,PPD
PPD-300,Social Justice Issues in Public Policy and Urban Planning,4.0,Lecture,32.0,Lavonna Lewis,20233,PPD
PPD-300,Social Justice Issues in Public Policy and Urban Planning,4.0,Lecture,10.0,Maria Romero-Morales,20233,PPD
PPD-301,PPD Practices: Internship Seminar,2.0,Lecture,27.0,Lauren Opgenorth,20233,PPD
PPD-303,"Statistics for Policy, Planning, and Development",4.0,Lecture,36.0,Norris Gunby,20233,PPD
PPD-303,"Statistics for Policy, Planning, and Development",4.0,Lecture,31.0,John Romley,20233,PPD
PPD-303,"Statistics for Policy, Planning, and Development",4.0,Lecture,27.0,Megan Besecker,20233,PPD
PPD-313,Finance of the Public Sector,4.0,Lecture,32.0,Mark Phillips,20233,PPD
PPD-314,Public Policy and Law,4.0,Lecture,25.0,Frank Zerunyan,20233,PPD
PPD-315,Analytic Foundations for Public Policy,4.0,Lecture,24.0,Pamela Mccann,20233,PPD
PPD-325,Fundamentals of Health Policy and Management,4.0,Lecture,21.0,Genevieve Kanter,20233,PPD
PPD-342,Crime and Public Policy,4.0,Lecture,44.0,Candice Cobarrubias,20233,PPD
PPD-353,Philanthropy and Social Change,4.0,Lecture,17.0,Nicole Esparza,20233,PPD
PPD-357,Government and Business,4.0,Lecture,32.0,Michael Thom,20233,PPD
PPD-360,Urban Transportation Planning and Policy,4.0,Lecture,41.0,Selika Talbott,20233,PPD
PPD-361,"Sustainable Communities, Policy and Planning",4.0,Lecture,32.0,Antonio Bento,20233,PPD
PPD-371,The Nonprofit Sector and the Public Interest,4.0,Lecture,26.0,Alexandra Graddy-Reed,20233,PPD
PPD-373,Public Policy and Planning Analysis,4.0,Lecture,24.0,Grace Bahng,20233,PPD
PPD-400,Topics in Public Policy and Urban Studies,4.0,Lecture,14.0,Alison Linder,20233,PPD
PPD-413,Management of Health Care Organizations,4.0,Lecture,15.0,Philip Dalton,20233,PPD
PPD-430,Urban Informatics,4.0,Lecture,32.0,Geoff Boeing,20233,PPD
PPD-431,"Undergraduate Policy, Planning, and Development Studio",4.0,Lecture,13.0,Clifford Graves,20233,PPD
PPD-431,"Undergraduate Policy, Planning, and Development Studio",4.0,Lecture,24.0,Lauren Quan-Madrid,20233,PPD
PPD-431,"Undergraduate Policy, Planning, and Development Studio",4.0,Lecture,25.0,Rogelio Pardo,20233,PPD
PPD-439,Housing and Community Development,4.0,Lecture,23.0,Jennifer Thomas,20233,PPD
PPD-490x,Directed Research,"1.0-8.0 units, max 12",Lecture,2.0,Samantha Malisos,20233,PPD
PPD-497a,Senior Thesis,2.0,Lecture,2.0,Samantha Malisos,20233,PPD
PPD-503,Economics for Public Policy,4.0,Lecture,60.0,Antonio Bento,20233,PPD
PPD-503,Economics for Public Policy,4.0,Lecture,28.0,Antonio Bento,20233,PPD
PPD-503,Economics for Public Policy,4.0,Lecture,8.0,Robert Ingenito,20233,PPD
PPD-504,Essential Statistics for Public Management,2.0,Lecture,20.0,William Leach,20233,PPD
PPD-506,Introduction to Microeconomics: Applications in Health,2.0,Lecture,27.0,Neeraj Sood,20233,PPD
