Course number,Course title,Units,Type,Section,Session,Time,Days,Seats,Registered,Instructor,term,class_abbr
PPD-225,Solving Public Problems,4.0 units,Lecture,51101R,1.0,4:00-5:50pm,"Mon, Wed",42.0,34.0,Danyao Li,20241,PPD
PPD-240g,Citizenship and Public Ethics,4.0 units,Lecture,51110D,1.0,4:00-5:50pm,"Tue, Thu",42.0,42.0,William Resh,20241,PPD
PPD-245g,The Urban Context,4.0 units,Lecture,51106D,1.0,10:00-11:50am,"Tue, Thu",46.0,44.0,Dowell Myers,20241,PPD
,,,Lecture,51109D,1.0,4:00-5:50pm,"Mon, Wed",46.0,39.0,Genevieve Giuliano,20241,PPD
PPD-300,Social Justice Issues in Public Policy and Urban Planning,4.0 units,Lecture,51111D,1.0,2:00-3:50pm,"Tue, Thu",47.0,45.0,Lavonna Lewis,20241,PPD
PPD-301,PPD Practices: Internship Seminar,2.0 units,Lecture,51104D,1.0,6:30-8:20pm,Tuesday,32.0,31.0,Lauren Opgenorth,20241,PPD
PPD-303,"Statistics for Policy, Planning, and Development",4.0 units,Lecture,51105R,1.0,12:00-1:50pm,"Mon, Wed",32.0,29.0,Mark Phillips,20241,PPD
,,,Lecture,51107R,1.0,12:00-1:50pm,"Tue, Thu",32.0,32.0,Julie Zissimopoulos,20241,PPD
,,,Lecture,51108R,1.0,10:00-11:50am,"Mon, Wed",33.0,30.0,Mark Phillips,20241,PPD
PPD-314,Public Policy and Law,4.0 units,Lecture,51118R,1.0,6:00-9:20pm,Wednesday,40.0,31.0,Frank Zerunyan,20241,PPD
PPD-315,Analytic Foundations for Public Policy,4.0 units,Lecture,51100R,1.0,2:00-3:50pm,"Tue, Thu",27.0,27.0,Pamela Mccann,20241,PPD
PPD-320,Organizational Behavior in Public Administration,4.0 units,Lecture,51113R,1.0,2:00-3:50pm,"Mon, Wed",32.0,0.0,Howard Greenwald Frank Zerunyan,20241,PPD
PPD-325,Fundamentals of Health Policy and Management,4.0 units,Lecture,51120R,1.0,10:00-11:50am,"Mon, Wed",32.0,15.0,Darius Lakdawalla,20241,PPD
PPD-330,Introduction to Health Care Systems,4.0 units,Lecture,51102R,1.0,10:00-11:50am,"Tue, Thu",33.0,33.0,Lavonna Lewis,20241,PPD
PPD-357,Government and Business,4.0 units,Lecture,51127R,1.0,10:00-11:50am,"Tue, Thu",32.0,32.0,Michael Thom,20241,PPD
PPD-361,"Sustainable Communities, Policy and Planning",4.0 units,Lecture,51141R,1.0,9:00-12:20pm,Friday,32.0,23.0,Heather Repenning,20241,PPD
PPD-371,The Nonprofit Sector and the Public Interest,4.0 units,Lecture,51130R,1.0,2:00-3:50pm,"Tue, Thu",32.0,30.0,Cara Esposito,20241,PPD
PPD-373,Public Policy and Planning Analysis,4.0 units,Lecture,51122R,1.0,8:00-9:50am,"Tue, Thu",25.0,25.0,Jordy Coutin,20241,PPD
PPD-382,International Development,4.0 units,Lecture,51151R,1.0,4:00-5:50pm,"Tue, Thu",32.0,19.0,Peter Robertson,20241,PPD
PPD-400,Topics in Public Policy and Urban Studies,4.0 units,Lecture,51123R,1.0,12:00-1:50pm,"Tue, Thu",25.0,23.0,David Sloane,20241,PPD
PPD-402,Management of Public and Nonprofit Organizations,4.0 units,Lecture,51136R,1.0,6:00-9:20pm,Monday,25.0,21.0,Deborah Natoli,20241,PPD
PPD-407,Financial Management of Public and Nonprofit Organizations,4.0 units,Lecture,51124R,1.0,6:00-9:20pm,Tuesday,32.0,20.0,Baqhar Syed,20241,PPD
PPD-410,Comparative Urban Development,4.0 units,Lecture,51115R,1.0,6:00-9:20pm,Wednesday,25.0,12.0,Rym Kaki,20241,PPD
PPD-412,GeoDesign Practicum,4.0 units,Lecture-Lab,35667R,1.0,2:00-5:50pm,Monday,22.0,17.0,Guoping Huang,20241,PPD
PPD-414,Community Health Policy and Planning,4.0 units,Lecture,51128R,1.0,6:00-9:20pm,Tuesday,32.0,14.0,Mikaela Randolph,20241,PPD
PPD-415,Health Policy,4.0 units,Lecture,51125R,1.0,8:00-9:50am,"Mon, Wed",32.0,12.0,Rosalie Pacula,20241,PPD
PPD-422,Transportation and Technology and the Future of Mobility,4.0 units,Lecture,51139R,1.0,6:00-9:20pm,Monday,42.0,42.0,Selika Talbott,20241,PPD
PPD-427L,Geographic Information Systems and Planning Applications,4.0 units,Lecture-Lab,51145R,1.0,6:00-9:20pm,Monday,34.0,34.0,Pedro Spindler-Ruiz,20241,PPD
PPD-431,"Undergraduate Policy, Planning, and Development Studio",4.0 units,Lecture,51132R,1.0,4:00-5:50pm,"Mon, Wed",22.0,21.0,Howard Greenwald,20241,PPD
,,,Lecture,51133R,1.0,4:00-5:50pm,"Tue, Thu",23.0,22.0,Todd Gish,20241,PPD
