name,title,year,citation,link,publisher,type
Emma Aguila,Income Supplements and Subjective Life Expectancy for Low-Income Older Adults,2024,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:WqliGbK-hY8C,Springer International Publishing,Part of Book
Emma Aguila,Social Engagement and Dementia Risk in Mexican Americans: Policy Implications,2024,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:5awf1xo2G04C,Oxford University Press,Journal
Emma Aguila,The association of English‐Spanish and Indigenous‐Spanish bilingualism with cognition among older adults in the Mexican Health and Aging Study (MHAS),2023,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:V3AGJWp-ZtQC,,Journal
Emma Aguila,Asignación de dominios de ocupación de por vida en adultos mayores mexicanos: protocolo de vinculación Enasem-O* NET,2023,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:9vf0nzSNQJEC,,Journal
Emma Aguila,Determinants of retirement of formal and informal sector workers in Mexico: the role of health and economic security,2023,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:bnK-pcrLprsC,,Journal
Emma Aguila,Assigning lifetime occupation domains for older Mexicans: MHAS-O* NET linkage protocol,2023,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:WA5NYHcadZ8C,,Journal
Emma Aguila,Determinantes para el retiro en trabajadores de los sectores formal e informal en México: el papel de la salud y la seguridad económica,2023,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:SdhP9T11ey4C,,Journal
Emma Aguila,Do Conditional Cash Transfers Reduce Hypertension?,2024,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:ye4kPcJQO24C,North-Holland,Journal
Emma Aguila,"Migration, work, and retirement: the case of Mexican-origin populations",2023,8,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:B3FOqHPlNUQC,Cambridge University Press,Journal
Emma Aguila,Work and Retirement for Older Black and Hispanic Adults,2022,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:mvPsJ3kp5DgC,,Journal
